area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;estrato;upm;id_vivienda;id_hogar;fexp;periodo
1;010150;006201;009;06;1;3;3;1;1;3;2;3;2;2;2;3;3;2;2;3;3;2;2;2;3;3;3;3;2711;010150006201;01015000620100906;010150006201009061;155,544926976829;201909
1;010150;006201;009;07;1;3;3;1;1;3;2;3;2;2;2;2;2;2;2;3;3;2;2;2;3;3;3;3;2711;010150006201;01015000620100907;010150006201009071;155,544926976829;201909
1;010150;006603;012;01;1;2;2;1;2;3;1;2;2;1;1;3;2;3;2;2;2;2;2;2;3;2;2;3;2713;010150006603;01015000660301201;010150006603012011;78,9534380327867;201909
1;010150;006603;012;02;1;3;2;1;2;2;2;2;2;1;1;2;2;3;2;2;2;2;2;2;3;3;3;3;2713;010150006603;01015000660301202;010150006603012021;78,9534380327867;201909
1;010150;006603;012;03;1;2;2;3;2;2;1;2;2;1;1;3;2;3;2;2;2;2;2;2;3;2;3;3;2713;010150006603;01015000660301203;010150006603012031;78,9534380327867;201909
1;010150;006603;012;04;1;3;2;3;2;2;2;2;2;1;1;3;2;3;2;3;2;2;2;2;2;2;3;2;2713;010150006603;01015000660301204;010150006603012041;78,9534380327867;201909
1;010150;006603;012;05;1;3;2;2;2;3;1;2;2;2;2;3;2;3;2;2;2;2;2;2;3;2;2;2;2713;010150006603;01015000660301205;010150006603012051;78,9534380327867;201909
1;010150;006603;012;06;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;3;2;2;2713;010150006603;01015000660301206;010150006603012061;78,9534380327867;201909
1;010150;006603;012;07;1;2;2;2;2;2;2;3;1;1;1;2;2;2;2;2;2;2;2;2;3;2;3;3;2713;010150006603;01015000660301207;010150006603012071;78,9534380327867;201909
1;010150;006701;009;01;1;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2713;010150006701;01015000670100901;010150006701009011;123,712658503285;201909
1;010150;006701;009;02;1;3;3;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;3;3;3;3;2713;010150006701;01015000670100902;010150006701009021;123,712658503285;201909
1;010150;006701;009;03;1;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;010150006701;01015000670100903;010150006701009031;123,712658503285;201909
1;010150;006701;009;04;1;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;010150006701;01015000670100904;010150006701009041;123,712658503285;201909
1;010150;006701;009;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;010150006701;01015000670100905;010150006701009051;123,712658503285;201909
1;010150;006701;009;06;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;3;3;2713;010150006701;01015000670100906;010150006701009061;123,712658503285;201909
